CodigoMunicipio,MunicipioResidencia,Total_casos_dengue,POP_TOT,PIB_PER_CAPITA,IDH-M,GINI,IN055_AE,IN056_AE,IN024_AE,IN015_AE,IN022_AE,IN049_AE,IN016_AE,IN015_RS,Índice de pavimentação das vias públicas,CS001,Msau28,Mgrd06,Mgrd08,Mgrd11,IndiceSurto,Surto
350010,ADAMANTINA,185,34687,38997.12,0.79,0.515,100.0,99.89,100.0,100.0,188.1,23.85,100.0,97.43,98.46,SIM,Sim,Sim,Sim,Não,533.3410211318361,True
350020,ADOLFO,185,4351,32578.28,0.73,0.411,76.14,76.05,100.0,100.0,204.1,9.72,100.0,89.63,97.32,SIM,Sim,Não,Não,Não,4251.89611583544,True
350030,AGUAI,598,32072,35551.7,0.715,0.48,99.41,97.58,99.36,83.86,127.3,66.99,50.47,88.77,99.08,NAO,Sim,Não,Não,Sim,1864.554751808431,True
350040,AGUAS DA PRATA,265,7369,25297.02,0.781,0.531,100.0,98.01,100.0,95.16,201.7,35.38,99.74,96.01,87.2,SIM,Não,Não,Não,Não,3596.146017098657,True
350050,AGUAS DE LINDOIA,1362,17930,30971.23,0.745,0.461,100.0,99.39,100.0,86.91,216.6,40.03,87.34,98.57,99.16,SIM,Sim,Sim,Sim,Sim,7596.207473508088,True
350055,AGUAS DE SANTA BARBARA,692,7177,35378.64,0.757,0.495,72.2,50.01,74.11,73.33,221.3,37.34,100.0,99.18,81.63,NAO,Sim,Não,Não,Sim,9641.911662254424,True
350060,AGUAS DE SAO PEDRO,160,2780,41208.23,0.854,0.544,100.0,100.0,92.5,95.93,473.9,18.95,100.0,100.0,96.97,SIM,Sim,Não,Não,Não,5755.395683453237,True
350070,AGUDOS,714,37680,70209.74,0.745,0.431,92.59,91.71,100.0,100.0,178.5,33.91,100.0,99.59,92.18,SIM,Sim,Sim,Sim,Não,1894.904458598726,True
350075,ALAMBARI,132,6141,20765.46,0.712,0.445,72.33,44.73,65.53,65.25,173.4,27.06,100.0,99.1,71.96,NAO,Sim,Não,Não,Não,2149.4870542256963,True
350080,ALFREDO MARCONDES,40,4445,28649.11,0.741,0.364,82.99,75.12,100.0,100.0,194.7,17.7,100.0,88.39,82.91,SIM,Sim,Não,Não,Não,899.8875140607425,True
350090,ALTAIR,119,3451,26662.17,0.687,0.424,82.61,81.43,100.0,96.86,166.4,10.95,100.0,,93.75,NAO,Sim,Não,Sim,Sim,3448.2758620689656,True
350100,ALTINOPOLIS,592,16818,51377.61,0.73,0.447,87.51,87.51,100.0,85.73,219.0,42.7,100.0,89.19,96.9,SIM,Sim,Não,Não,Não,3520.038054465454,True
350110,ALTO ALEGRE,15,3841,27853.08,0.7,0.364,76.0,74.85,100.0,99.99,175.2,12.85,100.0,100.0,97.26,SIM,Sim,Não,Não,Não,390.5233012236397,True
350115,ALUMINIO,1061,17301,210670.96,0.766,0.429,74.89,56.73,72.87,61.01,163.4,43.87,100.0,99.24,99.4,SIM,Não,Não,Não,Sim,6132.593491705682,True
350120,ALVARES FLORENCE,398,3915,34389.1,0.728,0.417,67.36,67.36,96.62,68.42,197.2,7.59,100.0,67.36,97.95,NAO,Sim,Não,Não,Não,10166.02809706258,True
350130,ALVARES MACHADO,56,27255,28306.72,0.758,0.466,85.76,83.43,100.0,100.0,177.8,20.42,100.0,100.0,80.14,SIM,Sim,Não,Não,Não,205.46688680975967,False
350140,ALVARO DE CARVALHO,48,4808,11012.49,0.688,0.387,71.13,92.01,100.0,99.99,129.4,11.94,100.0,83.19,98.13,SIM,Não,Não,Não,Não,998.3361064891848,True
350150,ALVINLANDIA,403,2885,17965.24,0.722,0.533,95.81,94.35,100.0,100.0,139.8,26.02,100.0,100.0,99.15,SIM,Sim,Não,Não,Não,13968.804159445408,True
350160,AMERICANA,4901,237240,62271.47,0.811,0.469,100.0,100.0,100.0,100.0,178.9,53.31,81.9,99.53,98.35,SIM,Não,Sim,Sim,Não,2065.840499072669,True
